由于语法栈中内容较多，为了便于区分，[]为语法栈内容，()为表达式内容

步骤	[语法栈]	(输入串)	表达式
0	['#', 'Prog']	(int)	None
1	['#', u'Dstr']	(int)	1 Dstr
2	['#', u'Stem', u'Decl']	(int)	2 Decl Stem
3	['#', u'Stem', u'Type', u'ID', u'int']	(int)	4 int ID Type
4	['#', u'Stem', u'Type', u'ID']	(ID)	
5	['#', u'Stem', u'Type']	(;)	
6	['#', u'Stem', u'Vari', u'Advr']	(;)	6 Advr Vari
7	['#', u'Stem', u'Vari']	(;)	0
8	['#', u'Stem', u';']	(;)	8 ;
9	['#', u'Stem']	(int)	
10	['#', u'Dstr']	(int)	3 Dstr
11	['#', u'Stem', u'Decl']	(int)	2 Decl Stem
12	['#', u'Stem', u'Type', u'ID', u'int']	(int)	4 int ID Type
13	['#', u'Stem', u'Type', u'ID']	(ID)	
14	['#', u'Stem', u'Type']	(;)	
15	['#', u'Stem', u'Vari', u'Advr']	(;)	6 Advr Vari
16	['#', u'Stem', u'Vari']	(;)	0
17	['#', u'Stem', u';']	(;)	8 ;
18	['#', u'Stem']	(int)	
19	['#', u'Dstr']	(int)	3 Dstr
20	['#', u'Stem', u'Decl']	(int)	2 Decl Stem
21	['#', u'Stem', u'Type', u'ID', u'int']	(int)	4 int ID Type
22	['#', u'Stem', u'Type', u'ID']	(ID)	
23	['#', u'Stem', u'Type']	(()	
24	['#', u'Stem', u'Func']	(()	7 Func
25	['#', u'Stem', u'Epro', u'Bloc', u')', u'Pnum', u'Vpam', u'(', u'Mpro']	(()	9 Mpro ( Vpam Pnum ) Bloc Epro
26	['#', u'Stem', u'Epro', u'Bloc', u')', u'Pnum', u'Vpam', u'(']	(()	0
27	['#', u'Stem', u'Epro', u'Bloc', u')', u'Pnum', u'Vpam']	(int)	
28	['#', u'Stem', u'Epro', u'Bloc', u')', u'Pnum', u'Pist']	(int)	10 Pist
29	['#', u'Stem', u'Epro', u'Bloc', u')', u'Pnum', u'Ptem', u'Parm']	(int)	12 Parm Ptem
30	['#', u'Stem', u'Epro', u'Bloc', u')', u'Pnum', u'Ptem', u'Advr', u'ID', u'int']	(int)	14 int ID Advr
31	['#', u'Stem', u'Epro', u'Bloc', u')', u'Pnum', u'Ptem', u'Advr', u'ID']	(ID)	
32	['#', u'Stem', u'Epro', u'Bloc', u')', u'Pnum', u'Ptem', u'Advr']	(,)	
33	['#', u'Stem', u'Epro', u'Bloc', u')', u'Pnum', u'Ptem']	(,)	0
34	['#', u'Stem', u'Epro', u'Bloc', u')', u'Pnum', u'Pist', u',']	(,)	13 , Pist
35	['#', u'Stem', u'Epro', u'Bloc', u')', u'Pnum', u'Pist']	(int)	
36	['#', u'Stem', u'Epro', u'Bloc', u')', u'Pnum', u'Ptem', u'Parm']	(int)	12 Parm Ptem
37	['#', u'Stem', u'Epro', u'Bloc', u')', u'Pnum', u'Ptem', u'Advr', u'ID', u'int']	(int)	14 int ID Advr
38	['#', u'Stem', u'Epro', u'Bloc', u')', u'Pnum', u'Ptem', u'Advr', u'ID']	(ID)	
39	['#', u'Stem', u'Epro', u'Bloc', u')', u'Pnum', u'Ptem', u'Advr']	(,)	
40	['#', u'Stem', u'Epro', u'Bloc', u')', u'Pnum', u'Ptem']	(,)	0
41	['#', u'Stem', u'Epro', u'Bloc', u')', u'Pnum', u'Pist', u',']	(,)	13 , Pist
42	['#', u'Stem', u'Epro', u'Bloc', u')', u'Pnum', u'Pist']	(int)	
43	['#', u'Stem', u'Epro', u'Bloc', u')', u'Pnum', u'Ptem', u'Parm']	(int)	12 Parm Ptem
44	['#', u'Stem', u'Epro', u'Bloc', u')', u'Pnum', u'Ptem', u'Advr', u'ID', u'int']	(int)	14 int ID Advr
45	['#', u'Stem', u'Epro', u'Bloc', u')', u'Pnum', u'Ptem', u'Advr', u'ID']	(ID)	
46	['#', u'Stem', u'Epro', u'Bloc', u')', u'Pnum', u'Ptem', u'Advr']	())	
47	['#', u'Stem', u'Epro', u'Bloc', u')', u'Pnum', u'Ptem']	())	0
48	['#', u'Stem', u'Epro', u'Bloc', u')', u'Pnum']	())	0
49	['#', u'Stem', u'Epro', u'Bloc', u')']	())	0
50	['#', u'Stem', u'Epro', u'Bloc']	({)	
51	['#', u'Stem', u'Epro', u'}', u'Lstr', u'Kdec', u'{']	({)	15 { Kdec Lstr }
52	['#', u'Stem', u'Epro', u'}', u'Lstr', u'Kdec']	(int)	
53	['#', u'Stem', u'Epro', u'}', u'Lstr', u'Kdec', u';', u'Advr', u'Kvde']	(int)	16 Kvde Advr ; Kdec
